client_id,days_since_last_transaction,avg_days_between_transactions,effort_required,status,potential_monthly_profit
638957,2,1.5,1 Visit,active,58329.1
642556,2,2.43,1 Visit,active,45850.52
644060,3,1.95,1 Email,active,47906.89
645041,2,1.46,1 Email,active,43668.26
647292,2,1.43,2 Phone calls,active,50633.3
652798,2,1.49,1 Email,active,102896.93
653182,2,1.48,2 Phone calls,active,68123.23
655972,11,1.52,1 Email,churned,76641.56
660495,0,1.59,1 Email,active,84471.82
662246,5,1.76,2 Phone calls,active,72424.48
663154,2,1.44,2 Phone calls,active,46687.25
664162,3,1.74,1 Visit,active,40216.3
665522,3,1.79,1 Visit,active,50615.69
668018,12,1.76,1 Email,churned,47584.09
669927,2,1.54,2 Phone calls,active,51612.16
670567,2,1.57,1 Visit,active,104268.32
670886,2,1.45,1 Email,active,66521.36
672776,2,1.44,1 Email,active,52688.02
674617,2,1.46,2 Phone calls,active,159232.55
681753,2,1.5,1 Email,active,37517.14
682077,2,1.5,1 Visit,active,39160.08
682353,2,1.47,1 Visit,active,55047.14
683383,2,1.52,1 Email,active,100059.04
687339,2,1.68,1 Email,active,49000.88
687584,9,1.73,1 Visit,churned,111595.22
688777,2,1.63,1 Visit,active,51540.06
688919,2,1.51,1 Email,active,37747.54
689477,4,1.56,2 Phone calls,active,85377.05
691738,9,2.2,1 Visit,churned,61788.29
691897,9,1.5,2 Phone calls,churned,61293.58
692195,5,1.48,1 Visit,churned,80646.77
694254,3,1.51,1 Visit,active,52301.42
694342,4,1.51,1 Email,active,44278.69
695540,3,1.56,1 Visit,active,36859.3
696515,9,1.67,1 Email,churned,48247.2
697186,2,1.54,1 Email,active,63167.74
698750,3,1.87,1 Email,active,38840.59
699010,9,1.69,1 Visit,churned,46651.19
702762,3,1.66,2 Phone calls,active,43705.29
702888,3,1.65,2 Phone calls,active,43902.72
705312,1,1.28,1 Visit,active,126165.7
709228,2,1.77,1 Visit,active,57383.8
712933,2,1.5,1 Email,active,45480.6
720278,2,1.48,1 Email,active,70038.75
721946,2,1.44,1 Visit,active,57323.13
725438,5,2.47,2 Phone calls,active,114896.94
726867,34,8.19,1 Visit,churned,78144.66
730155,2,1.58,1 Email,active,44740.73
732030,4,1.54,1 Email,active,45756.11
734322,4,1.52,2 Phone calls,active,79426.74
734583,2,1.44,1 Email,active,41716.91
734809,5,2.08,1 Visit,active,48613.15
735831,2,1.59,2 Phone calls,active,50171.41
736364,2,1.61,2 Phone calls,active,42646.44
736968,2,1.47,1 Email,active,136939.09
744320,9,2.23,2 Phone calls,churned,36458.41
746158,3,1.48,1 Email,active,45055.31
746360,2,1.46,1 Email,active,134037.86
747888,3,1.52,2 Phone calls,active,119315.19
747951,2,1.46,1 Email,active,55323.56
749102,38,13.78,1 Email,active,44282.62
749713,2,1.45,1 Visit,active,48699.29
750311,2,1.45,2 Phone calls,active,119841.39
755246,5,1.69,1 Visit,active,68314.26
755519,2,1.94,1 Email,active,42397.91
757650,2,1.45,1 Email,active,108750.38
758269,2,1.54,1 Visit,active,45752.87
761727,2,1.46,1 Email,active,45960.23
763357,2,2.36,2 Phone calls,active,78366.58
764025,4,1.73,2 Phone calls,active,39372.09
768587,9,2.12,1 Visit,churned,39411.78
774613,3,1.6,2 Phone calls,active,81319.51
776321,2,1.85,2 Phone calls,active,46785.73
776358,2,1.49,2 Phone calls,active,78649.55
778118,2,1.57,1 Visit,active,114449.76
781036,9,1.59,1 Visit,churned,61365.66
782240,3,1.73,2 Phone calls,active,66167.56
782682,5,2.1,1 Email,active,61138.2
783783,2,1.46,1 Email,active,36465.98
784023,2,1.48,2 Phone calls,active,104327.9
786186,2,1.46,2 Phone calls,active,128569.29
791126,2,1.58,1 Visit,active,53907.21
794738,2,1.44,2 Phone calls,active,163322.75
795863,3,1.5,1 Visit,active,41328.74
796022,2,1.58,2 Phone calls,active,81157.44
797143,2,1.47,1 Email,active,42108.6
798548,2,1.51,2 Phone calls,active,40112.71
801680,2,1.46,1 Email,active,43266.94
802673,2,1.46,1 Email,active,110728.91
802878,2,1.57,2 Phone calls,active,37749.76
803932,5,1.56,2 Phone calls,churned,96074.82
804156,2,1.86,2 Phone calls,active,52447.18
805390,2,3.76,2 Phone calls,active,46303.81
805583,2,1.62,2 Phone calls,active,45733.44
805616,2,1.5,1 Email,active,36788.62
805704,3,1.51,2 Phone calls,active,44374.44
808292,2,1.88,1 Visit,active,50873.12
811505,251,1.44,1 Visit,churned,79531.77
813191,3,1.59,1 Email,active,47449.99
813686,3,1.47,1 Visit,active,63514.52
815746,11,2.34,1 Email,churned,40492.95
819814,2,1.44,1 Email,active,75696.82
821980,3,1.68,2 Phone calls,active,64379.64
822336,2,2.95,1 Visit,active,47146.34
824122,19,7.53,1 Visit,active,41076.7
826261,2,1.44,2 Phone calls,active,46715.94
826940,9,2.05,2 Phone calls,churned,52443.65
828304,4,1.64,1 Visit,active,42104.31
829814,11,4.14,1 Email,active,266885.51
831718,3,1.65,2 Phone calls,active,75136.48
833036,12,2.53,2 Phone calls,churned,65531.97
834287,3,1.48,1 Visit,active,90956.61
836754,9,1.55,2 Phone calls,churned,53264.94
837714,3,1.55,1 Visit,active,36818.72
838172,2,1.46,2 Phone calls,active,54156.5
838258,2,1.44,1 Visit,active,134024.28
845385,2,1.5,1 Visit,active,83215.41
847354,3,1.88,1 Email,active,65149.69
848962,2,1.44,2 Phone calls,active,57820.59
853623,10,2.53,2 Phone calls,churned,78752.9
854451,3,1.48,1 Visit,active,77596.9
855979,2,1.49,2 Phone calls,active,47669.71
864026,2,3.82,1 Email,active,142802.06
867448,2,1.44,1 Visit,active,119622.93
868013,2,1.61,1 Email,active,40847.06
871199,1,1.68,1 Visit,active,59925.66
872525,2,1.5,1 Visit,active,54528.74
873001,2,2.41,1 Email,active,40432.12
873150,19,4.34,2 Phone calls,churned,50323.25
877434,2,1.47,1 Visit,active,111121.11
878738,2,1.5,1 Email,active,132941.7
878889,2,1.55,1 Visit,active,44001.89
879623,3,1.62,2 Phone calls,active,40486.1
881711,3,1.45,1 Email,active,60776.78
882417,3,1.47,1 Email,active,91143.83
885049,2,1.93,1 Email,active,52681.5
887036,2,1.45,1 Visit,active,85261.94
890078,2,1.45,1 Visit,active,37248.74
890252,2,1.47,1 Email,active,47411.89
891063,2,1.54,2 Phone calls,active,37363.51
892705,2,1.93,2 Phone calls,active,75491.49
895646,2,1.56,1 Visit,active,55024.64
895931,2,1.44,1 Visit,active,89883.62
896016,3,1.47,2 Phone calls,active,62464.96
896654,9,1.56,2 Phone calls,churned,61915.21
900195,3,1.83,1 Visit,active,70215.29
902253,2,4.29,1 Visit,active,188707.3
903270,2,1.81,2 Phone calls,active,91921.48
907689,3,1.56,1 Email,active,38547.3
908470,2,1.5,1 Email,active,77735.59
909513,5,6.04,1 Email,active,38177.78
921599,2,1.44,2 Phone calls,active,59014.62
921974,2,1.45,2 Phone calls,active,335673.99
923144,2,1.45,1 Visit,active,116332.41
924307,3,1.86,2 Phone calls,active,168996.99
926987,4,2.7,2 Phone calls,active,40614.84
928567,2,1.82,2 Phone calls,active,45124.81
934827,2,1.48,1 Email,active,57476.81
935515,3,1.68,1 Email,active,47675.48
937801,3,2.43,2 Phone calls,active,103714.66
938174,4,1.71,2 Phone calls,active,77463.8
940099,5,1.89,2 Phone calls,active,58618.29
940650,2,1.45,1 Email,active,91389.9
942415,2,1.58,1 Visit,active,50898.06
942459,9,1.78,1 Visit,churned,39269.76
943886,2,1.84,1 Email,active,45999.9
944287,1,1.59,2 Phone calls,active,47302.92
944916,4,2.73,1 Email,active,87946.13
944998,9,3.77,1 Email,active,47916.34
946576,3,1.84,1 Visit,active,39468.33
947867,2,1.51,1 Visit,active,40787.69
948017,2,1.49,2 Phone calls,active,92473.96
951757,2,1.46,1 Email,active,81477.07
953990,3,1.52,1 Email,active,55133.4
955820,2,1.36,2 Phone calls,active,111304.1
958591,4,3.61,1 Visit,active,42908.58
960796,2,1.49,1 Email,active,48477.49
961759,4,2.87,1 Visit,active,39302.5
963046,3,3.09,1 Visit,active,47671.6
963676,32,5.1,2 Phone calls,churned,41718.1
964048,2,2.18,1 Visit,active,37953.29
967012,2,1.55,1 Visit,active,49848.48
969778,4,1.57,2 Phone calls,active,49549.66
972461,2,1.56,1 Email,active,42541.35
973658,5,1.6,2 Phone calls,churned,90932.41
974971,2,1.5,1 Email,active,36808.58
976682,2,1.44,1 Email,active,142632.15
976974,4,1.46,1 Visit,active,105300.33
977478,17,2.74,1 Visit,churned,38315.13
979094,2,1.52,1 Visit,active,41612.42
984348,10,3.54,2 Phone calls,active,62263.48
984422,2,1.44,2 Phone calls,active,66330.16
985303,2,1.46,1 Visit,active,75007.71
990171,2,1.58,1 Visit,active,46292.09
990641,2,1.54,1 Email,active,44763.23
992178,2,1.6,1 Visit,active,91446.21
992720,19,1.9,1 Visit,churned,95292.66
994813,5,1.64,2 Phone calls,churned,49722.43
995683,5,3.2,2 Phone calls,active,39233.34
996794,2,1.44,1 Email,active,51343.27
1005196,4,1.56,1 Visit,active,50510.5
1007170,3,1.93,2 Phone calls,active,56675.71
1007327,2,1.5,1 Visit,active,57341.76
1009395,2,1.54,1 Email,active,45642.86
1011461,3,2.98,1 Email,active,40525.13
1012620,2,1.55,1 Email,active,43536.56
1012791,2,1.65,1 Visit,active,56227.15
1015520,2,1.45,1 Visit,active,46677.29
1015601,2,1.45,2 Phone calls,active,97485.99
1015875,2,1.52,1 Visit,active,62760.66
1020477,2,1.45,1 Visit,active,110776.41
1021255,2,1.45,1 Visit,active,37986.81
1022370,2,1.61,1 Email,active,49839.19
1024918,2,1.46,1 Visit,active,38836.49
1024919,3,1.86,2 Phone calls,active,113216.04
1025297,4,1.64,1 Email,active,37174.31
1035245,223,1.5,1 Visit,churned,52723.19
1035982,2,53.75,1 Email,active,55401.98
1037392,9,1.61,2 Phone calls,churned,63969.88
1037700,9,1.56,1 Visit,churned,36184.52
1039875,11,1.77,1 Visit,churned,81256.0
1042144,5,1.51,1 Email,churned,103115.59
1043040,9,1.96,2 Phone calls,churned,43116.54
1049145,2,1.44,2 Phone calls,active,296614.21
1055397,4,1.53,2 Phone calls,active,60291.76
1056098,2,1.48,1 Email,active,37662.26
1056862,2,1.48,1 Email,active,43229.4
